startDate,ms_played,track_name_x,artist_name,album_name_x,track_id,value,unit,endDate,artists,album_name_y,track_name_y,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
11/13/23 21:40,322899,Moh Moh Ke Dhaage (Male),Anu Malik,Dum Laga Ke Haisha,189DQylImZ1hGZaIpAQUzx,76,count/min,11/13/23 21:44,Anu Malik;Papon;Varun Grover,Dum Laga Ke Haisha,Moh Moh Ke Dhaage (Male),58,322899,FALSE,0.634,0.344,2,-11.011,1,0.0288,0.741,6.09E-05,0.111,0.409,128
11/13/23 21:50,343066,Yeh Hum Aa Gaye Hain Kahaan,Madan Mohan,Veer - Zaara,7sSYkaAXRgnzoQYrGgrvlX,79,count/min,11/13/23 21:59,Madan Mohan;Lata Mangeshkar;Udit Narayan;Javed Akhtar,Veer - Zaara,Yeh Hum Aa Gaye Hain Kahaan,54,343066,FALSE,0.48,0.753,5,-7.33,0,0.0454,0.347,0.000335,0.315,0.462,90.027
11/13/23 23:50,821,Tere Binaa,Mustafa Zahid,Heropanti,1DsQyEshUaan0BBb7fUQHr,55,count/min,11/13/23 23:59,Mustafa Zahid,Heropanti,Tere Binaa,63,203180,FALSE,0.42,0.342,10,-7.105,1,0.0326,0.815,0,0.139,0.326,150.082
11/14/23 0:00,229575,Senorita,Farhan Akhtar,Zindagi Na Milegi Dobara,3TAhWtQnpoL5Vl9VQPl9fU,56,count/min,11/14/23 0:09,Farhan Akhtar;Hrithik Roshan;Abhay Deol;Maria Del Mar Fernandez,Zindagi Na Milegi Dobara,Senorita,64,229575,FALSE,0.701,0.681,9,-6.442,1,0.0466,0.134,0,0.064,0.81,122.539
11/14/23 0:10,9215,"Chaandaniya (From ""2 States"")",Mohan Kannan,Pen Down With Amitabh Bhattacharya,7FsbfCdgaITFyfA51iur79,55,count/min,11/14/23 0:19,Mohan Kannan;Yashita Sharma,Pen Down With Amitabh Bhattacharya,"Chaandaniya (From ""2 States"")",56,247862,FALSE,0.567,0.546,4,-8.316,1,0.0405,0.301,1.69E-06,0.129,0.401,113.806
11/14/23 0:10,9215,"Chaandaniya (From ""2 States"")",Mohan Kannan,Pen Down With Amitabh Bhattacharya,7FsbfCdgaITFyfA51iur79,55,count/min,11/14/23 0:19,Mohan Kannan;Yashita Sharma,Pen Down With Amitabh Bhattacharya,"Chaandaniya (From ""2 States"")",56,247862,FALSE,0.567,0.546,4,-8.316,1,0.0405,0.301,1.69E-06,0.129,0.401,113.806
11/14/23 0:10,9215,"Chaandaniya (From ""2 States"")",Mohan Kannan,Pen Down With Amitabh Bhattacharya,7FsbfCdgaITFyfA51iur79,55,count/min,11/14/23 0:19,Mohan Kannan;Yashita Sharma,Pen Down With Amitabh Bhattacharya,"Chaandaniya (From ""2 States"")",56,247862,FALSE,0.567,0.546,4,-8.316,1,0.0405,0.301,1.69E-06,0.129,0.401,113.806
11/14/23 0:20,600,Tum Tak,A.R. Rahman,Raanjhanaa (Original Motion Picture Soundtrack),1wnozUBSe7OMpmZiTPJC5j,58,count/min,11/14/23 0:29,A.R. Rahman;Javed Ali;KIRTI SAGATHIA;Pooja AV,Raanjhanaa (Original Motion Picture Soundtrack),Tum Tak,66,304466,FALSE,0.72,0.621,2,-9.773,1,0.0491,0.676,0,0.0679,0.566,114.987
11/14/23 0:20,600,Tum Tak,A.R. Rahman,Raanjhanaa (Original Motion Picture Soundtrack),1wnozUBSe7OMpmZiTPJC5j,58,count/min,11/14/23 0:29,A.R. Rahman;Javed Ali;KIRTI SAGATHIA;Pooja AV,Raanjhanaa (Original Motion Picture Soundtrack),Tum Tak,66,304466,FALSE,0.72,0.621,2,-9.773,1,0.0491,0.676,0,0.0679,0.566,114.987
11/14/23 0:30,184444,Dil Tod Ke,Manan Bhardwaj,Dil Tod Ke,5j0djbgoEhOeGTXw6OaBjo,56,count/min,11/14/23 0:39,,,,,,,,,,,,,,,,,
11/14/23 0:40,2140,"Naina Lade (From ""Dabangg 3"")",Javed Ali,"Naina Lade (From ""Dabangg 3"")",5YHEjmGmxm1vxYmgWo3y33,57,count/min,11/14/23 0:49,,,,,,,,,,,,,,,,,
11/14/23 0:50,15250,Piya Re Piya,Yasser Desai,Piya Re Piya,1ZAqYLDGyvHfFZDc3kX12V,64,count/min,11/14/23 0:59,,,,,,,,,,,,,,,,,
11/14/23 1:50,83270,Khalasi | Coke Studio Bharat,Aditya Gadhvi,Khalasi | Coke Studio Bharat,5LSAafg2oH9YPgf3EG17iw,51,count/min,11/14/23 1:55,,,,,,,,,,,,,,,,,
11/14/23 19:30,187942,Pichle Saat Dinon Mein (Album Version),Farhan Akhtar,Rock On,1QQqHS80CpR8tA2lR8O65y,72,count/min,11/14/23 19:38,,,,,,,,,,,,,,,,,
11/14/23 19:40,2751,Challa,A.R. Rahman,Jab Tak Hai Jaan,6wXPV6dNRAhFavrRaCdMXT,82,count/min,11/14/23 19:49,A.R. Rahman;Rabbi Shergil;Gulzar,Jab Tak Hai Jaan,Challa,59,320417,FALSE,0.776,0.795,0,-5.454,1,0.0485,0.121,0,0.138,0.569,117.989
11/14/23 19:50,1258,Sooraj Ki Baahon Mein,Dominique Cerejo,Zindagi Na Milegi Dobara,723xQva0yBF7M6K3nDAG8R,85,count/min,11/14/23 19:57,,,,,,,,,,,,,,,,,
11/14/23 20:00,11520,Moh Moh Ke Dhaage (Male),Anu Malik,Dum Laga Ke Haisha,189DQylImZ1hGZaIpAQUzx,76,count/min,11/14/23 20:05,Anu Malik;Papon;Varun Grover,Dum Laga Ke Haisha,Moh Moh Ke Dhaage (Male),58,322899,FALSE,0.634,0.344,2,-11.011,1,0.0288,0.741,6.09E-05,0.111,0.409,128
