end_time,ms_played,track_name,artist_name,album_name,url
2023-11-21 19:50:00,231110,Rishte Naate,Rahat Fateh Ali Khan,De Dana Dan,spotify:track:5fKzdTKPV9vT4WEjEdxXrt
2023-11-22 18:30:00,36740,Rishte Naate,Rahat Fateh Ali Khan,De Dana Dan,spotify:track:5fKzdTKPV9vT4WEjEdxXrt
2023-11-22 18:40:00,252200,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA
2023-11-22 18:50:00,27061,Samjhawan,Jawad Ahmad,Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),spotify:track:4LO5DjN6Tp3UkUvgESuy2t
2023-11-22 19:00:00,242080,Commentry Tabassum And Humen Tumse Pyar Kitna,Tabassum,Flash Back - Kishore Kumar With Tabassum,spotify:track:0whjGr7gU3X93lNTpLQhys
2023-11-22 19:10:00,228960,Bheegi Bheegi Raaton Mein,Lata Mangeshkar,Remembering Lata Mangeshkar,spotify:track:2TFQJcS4LnIe5HBHCsL3WM
2023-11-22 19:20:00,266145,Ek Ajnabee Haseena Se,Kishore Kumar,Ajanabee,spotify:track:1mPNK9DQVA7gJNtJ20PZu3
2023-11-22 19:30:00,14389,Pyar Diwana Hota Hain,Kishore Kumar,Classic Revival Tum Mile Pyar Se,spotify:track:2lZlmPPPD89y8dbcfUkrCE
2023-11-22 19:40:00,276855,Yeh Sham Mastani,Kishore Kumar,Kati Patang,spotify:track:6UeEm5XPsleVD85kNHCu1n
2023-11-22 19:50:00,56482,Mana Janab Ne Pukara Nahin,Kishore Kumar,Kishore Kumar Masti Ki Chakri,spotify:track:7Hapk4X6sZ48WbPV27KHNq
2023-11-22 20:00:00,294333,Tere Mere Milan Ki Yeh Raina,Lata Mangeshkar,Remembering Lata Mangeshkar,spotify:track:4APKfi2FMNCu5zo6RwUq1O
2023-11-22 20:10:00,269551,Chala Jata Hoon,Kishore Kumar,Kishore Kumar Masti Ki Chakri,spotify:track:5qQIs3YxG66SUHK3KHhSIr
2023-11-22 20:40:00,16586,Meri Bheegi Bheegi Si,Kishore Kumar,Anamika,spotify:track:66pgL55KG00oTsxzTw7tBE
2023-11-22 20:50:00,10272,Roop Tera Mastana,Kishore Kumar,"Baarishein, Chai Aur Kishore",spotify:track:2LRVglXOFzxJvdkTgh3waN
